Movement1 Class
x	y	z	tick	deltaG
Movement1 Class
x	y	z	tick	deltaG
0.0546875	-0.08984375	1.00390625	63428375900304	0.00719091883716616
0.0546875	-0.0859375	0.9921875	63428375900743	0.00480744948150402
0.046875	-0.08984375	1	63428375901246	0.00291138562086535
0.046875	-0.09765625	1.01171875	63428375901749	0.0152911895074943
0.05078125	-0.09375	1.00390625	63428375902251	0.00734207429122802
0.05078125	-0.0859375	0.98828125	63428375902751	0.00890055421072922
0.05078125	-0.08203125	0.9921875	63428375903253	0.00534304165778554
0.046875	-0.0859375	1	63428375903759	0.00256975416543281
0.046875	-0.0859375	1	63428375904267	0.00256975416543281
0.05078125	-0.0859375	0.9921875	63428375904770	0.00501400095564808
0.04296875	-0.0859375	0.99609375	63428375905272	0.00149317607368293
0.04296875	-0.08984375	1	63428375905776	0.00273678849811154
0.0390625	-0.08984375	1	63428375906279	0.00257734723749503
0.03515625	-0.08984375	1.00390625	63428375906782	0.00632133533374035
0.03125	-0.0859375	1	63428375907283	0.00196212237525351
0.03125	-0.08203125	1.01953125	63428375907784	0.0210932248595794
0.1171875	-0.2890625	1.01953125	63428375908283	0.0639672055089979
0.171875	-0.51171875	0.859375	63428375908785	0.0126408848819712
0.25390625	-0.61328125	0.76171875	63428375909288	0.00813526941383258
0.3515625	-0.66796875	0.70703125	63428375909790	0.0320392257019713
0.41015625	-0.68359375	0.66796875	63428375910310	0.0306522742647402
0.44140625	-0.87109375	0.83203125	63428375910795	0.285531426323415
0.37890625	-0.6875	0.92578125	63428375911298	0.208673044929651
0.34765625	-0.6875	0.84375	63428375911799	0.125055151715086
0.3359375	-0.69140625	0.7890625	63428375912302	0.0920449728579091
0.28515625	-0.8203125	0.73828125	63428375912803	0.14655269557633
-0.1484375	-1.078125	1.7265625	63428375913306	1.04406541142899
0.01953125	-0.93359375	1.0859375	63428375913842	0.427434886964203
0.16796875	-0.80078125	0.90625	63428375914314	0.216184198269091
0.31640625	-0.734375	0.77734375	63428375914815	0.118009218853931
0.41796875	-0.7109375	0.6875	63428375915321	0.0729619354834674
0.4765625	-0.66796875	0.61328125	63428375915834	0.0194592787467074
0.49609375	-0.67578125	0.62890625	63428375916317	0.0432165676763052
0.48046875	-0.6640625	0.65234375	63428375916819	0.039028409795312
0.46484375	-0.65234375	0.66796875	63428375917322	0.0388111754895131
0.42578125	-0.66796875	0.68359375	63428375917824	0.0230103834290534
0.40234375	-0.67578125	0.703125	63428375918325	0.0112149392445211
0.37890625	-0.66796875	0.70703125	63428375918828	0.0290098405829475
0.37109375	-0.6875	0.71484375	63428375919330	0.0486014875808098
0.27734375	-0.765625	0.5234375	63428375919832	0.06621624404035
0.05859375	-0.83984375	0.61328125	63428375920335	0.00152468317805132
0.17578125	-0.94921875	0.625	63428375920837	0.132916544721576
0.19140625	-0.921875	0.359375	63428375921339	0.206004723744662
1.88671875	0.1953125	0.109375	63428375921846	0.757395550957181
1.44140625	-0.1875	0.359375	63428375922346	0.395720010810776
-0.8046875	0.41015625	-0.234375	63428375922849	0.206758926642859
1.578125	0.14453125	0.78515625	63428375923351	0.272362935433121
1.00390625	-0.33984375	0.65625	63428375923851	0.185625137400524
0.55078125	-0.609375	0.578125	63428375924350	0.216510754667334
0.2578125	-0.75	0.55859375	63428375924851	0.14515671227941
0.078125	-0.8359375	0.56640625	63428375925391	0.0609048986166358
0.0546875	-0.88671875	0.53515625	63428375925892	0.0127308117171618
0.27734375	-0.671875	0.66015625	63428375926394	0.0660967480634547
-0.9609375	-0.296875	-0.31640625	63428375926901	0.0067876294456819
-1.99609375	-0.03515625	-0.92578125	63428375927399	1.15762952174963
-2.703125	0.07421875	-1.2265625	63428375927904	1.92300420340335
-2.9765625	0.16015625	-1.03515625	63428375928403	0.186173003392499
-1.31640625	-0.3359375	-0.234375	63428375928908	1.59065511437745
-0.515625	-0.609375	0.14453125	63428375929434	2.15808653755456
-0.12890625	-0.73046875	0.2890625	63428375929912	2.17322836064221
-0.078125	-0.8125	0.4453125	63428375930414	2.03949910062422
-0.109375	-0.84765625	0.51171875	63428375930917	1.97315521243598
-0.12890625	-0.859375	0.546875	63428375931453	1.94256842222174
-0.09375	-0.859375	0.58203125	63428375931927	1.92716875430678
-0.07421875	-0.86328125	0.59765625	63428375932426	1.91672303704811
-0.05859375	-0.85546875	0.62109375	63428375932928	1.91053677576988
-0.04296875	-0.84765625	0.62109375	63428375933430	1.91759317802445
-0.04296875	-0.84375	0.6171875	63428375933932	1.92304795445495
0.0234375	-0.83203125	0.62890625	63428375934435	1.92607852121258
0.1328125	-0.7265625	0.61328125	63428375934938	2.00929387429779
0.1875	-0.42578125	0.828125	63428375935439	2.01945635739841
0.1875	-0.23828125	0.8359375	63428375935941	2.08009030320496
-0.0078125	-0.15625	0.91015625	63428375936444	2.0458139701847
0.09375	-0.2109375	0.96484375	63428375936947	1.97724574260703
0.046875	-0.1484375	0.96875	63428375937459	1.98814129431079
0.02734375	-0.1171875	0.984375	63428375937964	1.97761494871125
0.01171875	-0.109375	0.9921875	63428375938466	2.1572242721197
0	-0.1015625	1	63428375938967	0.373518540391831
-0.00390625	-0.09765625	1	63428375939469	0.193533293711739
0	-0.08984375	1.00390625	63428375939970	0.211828944722792
-0.00390625	-0.0859375	1.00390625	63428375940469	0.0777665735968897
-0.00390625	-0.0859375	1.00390625	63428375940970	0.0114226854086442
0.00390625	-0.08984375	1.00390625	63428375941473	0.0188234242701437
0	-0.09375	1.00390625	63428375941975	0.0338749599472989
0	-0.09375	1	63428375942503	0.0482099393270419
-0.00390625	-0.08984375	1.00390625	63428375942987	0.00354112988327637
-0.00390625	-0.08984375	1.0078125	63428375943491	0.00743186105275173
0	-0.08984375	1.00390625	63428375943990	0.00353356045573827
0	-0.08984375	1	63428375944494	0.000357079531577931
0	-0.08203125	0.99609375	63428375945007	0.00491911780143117
-0.00390625	-0.0859375	1	63428375945499	0.000691481884924627
-0.00390625	-0.0859375	1	63428375946003	0.000691481884924627
0	-0.09375	1.01171875	63428375946506	0.0116681773740139
0.00390625	-0.08984375	1.00390625	63428375947009	0.00354112988327637
0	-0.09375	1	63428375947510	0
0	-0.09375	1.00390625	63428375948011	0.00388926212107421
0	-0.09375	1	63428375948512	0
0	-0.09375	0.99609375	63428375949010	0.00388912975747324
-0.00390625	-0.09375	1.00390625	63428375949513	0.00389682887826948
0	-0.09375	1.00390625	63428375950015	0.00388926212107421
0	-0.08984375	1.01171875	63428375950523	0.0113151999151375
0	-0.0859375	1	63428375951019	0.000699083233255404
-0.00390625	-0.08984375	1	63428375951522	0.000349480772487532
-0.00390625	-0.0859375	1	63428375952024	0.000691481884924627
0	-0.0859375	1.0078125	63428375952526	0.00708494812328819
0	-0.0859375	1.0078125	63428375953029	0.00354381824001182
-0.00390625	-0.08984375	1	63428375953531	0.00778134182523926
0	-0.08984375	1	63428375954033	0.0038906399873162
0	-0.0859375	1	63428375954537	0.000342003701677474
-0.00390625	-0.08984375	1.0078125	63428375955053	0.0123509788541829
-0.00390625	-0.08984375	1.00390625	63428375955555	0.004232611768201
-0.00390625	-0.09375	1	63428375956056	0.000699077942519999
0	-0.09375	1.00390625	63428375956572	0.00777891525293972
-0.00390625	-0.09375	1.0078125	63428375957074	0.00424506287763515
0	-0.09765625	1.0078125	63428375957571	0.00814793545925419
0.00390625	-0.08984375	1.0078125	63428375958075	0.00354259893167752
0	-0.09375	1.00390625	63428375958588	0.00388926212107421
0	-0.09765625	0.99609375	63428375959090	0.000373585330004644
0.00390625	-0.09375	1	63428375959593	0.0038892328206741
0	-0.09375	1.00390625	63428375960095	0
-0.00390625	-0.0859375	1.0078125	63428375960597	0.00422270894124832
-0.00390625	-0.0859375	1.0078125	63428375961100	0.0077915742071446
0	-0.08984375	1.0078125	63428375961601	0.00777380150457918
0	-0.08984375	1.0078125	63428375962102	0.00811580261701628
0.00390625	-0.0859375	1.00390625	63428375962605	0.00388449877546515
0	-0.08984375	1.0078125	63428375963110	0.000339372608803457
0	-0.08203125	1.01171875	63428375963612	0.0110034566552106
0.00390625	-0.0859375	1.00390625	63428375964115	0.00355752887940097
0	-0.08984375	1.0078125	63428375964617	0.00812340396534705
0.0078125	-0.08984375	1.0078125	63428375965121	2.26206248328253E-05
0.00390625	-0.08984375	1.01171875	63428375965622	0.00778158146775576
0	-0.08984375	1.0078125	63428375966120	0.00741672467449628
0	-0.08984375	1.0078125	63428375966621	0.00353505861101744
0	-0.08984375	1.0078125	63428375967124	0.000361872028819876
0.00390625	-0.0859375	1.0078125	63428375967627	0.00105544448536499
0	-0.09765625	1.0078125	63428375968129	0.000716074406502454
0	-0.08984375	1	63428375968631	0.00424634165265214
0.00390625	-0.08984375	1	63428375969133	0.00316606365498107
0	-0.09375	1.0078125	63428375969635	0.007771059022323
0	-0.09375	1.015625	63428375970137	0.0116685654026378
0	-0.09375	1.01171875	63428376057347	0.00457568640012473
0	-0.08203125	1.01171875	63428376096284	0.0035614849088339
0	-0.0859375	1.0078125	63428376120514	0.000339372608803457
0	-0.08984375	1.015625	63428376125635	0.00778187591149826
0	-0.0859375	1.0078125	63428376125815	0.00388449877546515
-0.00390625	-0.08984375	1.01171875	63428376126034	0.00389839061894048
0	-0.08984375	1.00390625	63428376126248	0.00712041542698483
0	-0.0859375	1	63428376126526	0.00389953258107845
0	-0.08984375	1	63428376126657	0.00778140026366958
0.00390625	-0.0859375	1.00390625	63428376126915	0.00425403232976151
0.00390625	-0.08984375	1.0078125	63428376127047	0.0038908502982804
0	-0.0859375	1	63428376127176	0.00812340396534705
0	-0.08203125	1.00390625	63428376127308	0.00455709265626258
0	-0.09375	0.98828125	63428376127421	0.0190913066910988
0	-0.09375	0.9921875	63428376127551	0.0148706165756398
-0.0078125	-0.09375	1	63428376127762	0.00811755157355143
-0.00390625	-0.09375	1.01171875	63428376127890	0.0120327657320285
0	-0.08984375	1	63428376128019	7.5987590903992E-06
0	-0.08984375	1.0078125	63428376128153	0.000354334347826724
0	-0.09765625	1.0078125	63428376128274	0.00740989206445786
0	-0.09765625	1.00390625	63428376128455	0.00740821090611643
0	-0.1015625	1.00390625	63428376128574	0.00600831892186893
0	-0.1015625	1.01171875	63428376128691	0.00533383741349414
0.00390625	-0.09375	1.01171875	63428376128904	0.00353051044313935
0	-0.09765625	1.0078125	63428376129036	0.00106298733596599
0	-0.08984375	1	63428376129168	0.0116797908826101
0	-0.09375	1	63428376129380	0.00353356045573827
-0.0078125	-0.08984375	1.00390625	63428376129511	0.00426292105807979
-0.00390625	-0.08984375	1.00390625	63428376129640	0.0038982094148543
0	-0.0859375	0.99609375	63428376129775	0.0077913817204931
0	-0.08984375	0.9921875	63428376129903	0.0155698540547222
0.00390625	-0.08984375	0.9921875	63428376130114	0.00743125166205472
0	-0.09375	0.99609375	63428376130247	0.00675635783330231
-0.00390625	-0.09375	0.99609375	63428376130386	0.00778548178631888
0	-0.09375	0.99609375	63428376130809	0.00388899584427738
0.00390625	-0.09375	0.9921875	63428376130938	0.0078008541460578
0	-0.09375	1.00390625	63428376131067	0.00778642407937635
0	-0.08984375	1	63428376131202	0
-0.00390625	-0.08984375	1.0078125	63428376131340	7.54032066008214E-06
0	-0.08984375	1.0078125	63428376131543	0.000723614727162536
0	-0.0859375	0.99609375	63428376131662	0.00885089884056756
0	-0.08984375	1	63428376131783	0.0050027364924321
-0.00390625	-0.08984375	1	63428376131982	0.0127682663092699
0	-0.08984375	0.99609375	63428376132122	0.0159232840264965
-0.00390625	-0.08984375	0.9921875	63428376132309	0.0162782703545643
0	-0.09375	1	63428376132424	0.000357079531577931
0	-0.09765625	1.0078125	63428376132554	0.00814793545925419
0.00390625	-0.09375	1.00390625	63428376132682	0.000332991053445086
0.00390625	-0.09375	1	63428376132821	0.003533533825681
0	-0.08984375	1.01171875	63428376132953	0.0159061322878076
0	-0.09765625	1.0078125	63428376133166	0.0162859284612247
0.00390625	-0.0859375	1.0078125	63428376133296	0.0152228258691993
0	-0.0859375	1.015625	63428376133431	0.0187585448618308
0	-0.09375	1.015625	63428376133562	0.0194393316964003
0.00390625	-0.09765625	1	63428376133784	0.00426886228981171
0	-0.08984375	1.00390625	63428376133923	0.0113040307160933
0.00390625	-0.08984375	1.00390625	63428376134145	0.000348132237797838
0	-0.09375	1.0078125	63428376134281	0.0081357346114963
0	-0.09765625	1.0078125	63428376134423	0.000716074406502454
-0.00390625	-0.08984375	1.00390625	63428376134800	0.00388319084881528
0	-0.0859375	1	63428376135166	0.00389184913941465
