Movement1 Class
x	y	z	tick	deltaG
0.0078125	-0.0703125	1.0234375	63428298408187	2.23110293011697E-05
0.0078125	-0.07421875	1.0234375	63428298408573	0.000297440505137025
0.0078125	-0.07421875	1.0234375	63428298409075	0.000297440505137025
0.01171875	-0.07421875	1.02734375	63428298409578	0.00423041898793697
0.0078125	-0.0703125	1.015625	63428298410081	0.00777144790415041
0.0078125	-0.06640625	1.0234375	63428298410582	0.000238014511957152
0.01171875	-0.06640625	1.0234375	63428298411085	0.000200821103564008
0.0078125	-0.0625	1.01953125	63428298411655	0.00438236983935303
0.0078125	-0.07421875	1.01953125	63428298412091	0.00359842592360748
0.01171875	-0.06640625	1.01953125	63428298412593	0.00409858735331237
0.00390625	-0.06640625	1.0234375	63428298413095	0.000260331204428477
0	-0.06640625	1.0234375	63428298413598	0.000267770209831708
0.0078125	-0.06640625	1.015625	63428298414101	0.00803376682858681
0	-0.0703125	1.015625	63428298414603	0.00780142378887816
0.00390625	-0.0703125	1.015625	63428298415107	0.00779392973495163
0.04296875	-0.05078125	1.0234375	63428298415672	0.000260331204428477
-0.02734375	-0.0859375	1.05859375	63428298416106	0.0365707828721349
-0.0390625	-0.47265625	0.85546875	63428298416609	0.0477180567036706
0.03515625	-0.73046875	0.35546875	63428298417111	0.212728520409404
0.03125	-0.88671875	0.17578125	63428298417612	0.121343311479567
0.01953125	-0.97265625	0.12109375	63428298418115	0.0455199149602052
0.01171875	-0.97265625	0.1484375	63428298418616	0.0421674502514928
0	-0.828125	0.5390625	63428298419117	0.0380357295340978
0.08203125	-0.7734375	0.66796875	63428298419655	0.00484788333714681
0.18359375	-0.7578125	0.68359375	63428298420123	0.0188744364078874
0.2421875	-0.765625	0.68359375	63428298420625	0.0289595933501861
0.26953125	-0.765625	0.68359375	63428298421561	0.0355357373514626
0.23828125	-0.78125	0.68359375	63428298421904	0.0436211688965833
0.140625	-0.76171875	0.69921875	63428298422380	0.0212436311223612
0.03515625	-0.74609375	0.7265625	63428298422882	0.0202512132713037
0.0625	-0.7109375	0.76953125	63428298423385	0.023934591282937
0.328125	-0.640625	0.69921875	63428298423883	0.022109062329486
0.60546875	-0.54296875	0.1875	63428298424383	0.183219711368193
0.67578125	-0.5	0.375	63428298424885	0.097564106635704
0.33984375	-0.55078125	0.625	63428298425388	0.118353103409463
